                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4618,                 1.6326,                 1.6169,                 1.6753,                 1.9545,                 1.6061,                0.62128,                0.45978,                0.50998,                0.33443,                 1.4333,                 1.5916,                 1.6756,                 1.5449,                 1.7435,                 1.6041,             0.00040833,             0.00040833,             0.00040833
                      2,                 1.5083,                 1.5559,                 1.6598,                 1.6673,                 1.8162,                 1.6145,                0.47885,                0.41543,                0.39618,                0.25146,                 1.6271,                 2.1951,                 1.8821,                 1.7301,                 2.2276,                 1.8199,             0.00081592,             0.00081592,             0.00081592
                      3,                 1.5078,                 1.5638,                 1.6158,                 1.6919,                 1.8825,                 1.5947,                0.46202,                0.41003,                0.36807,                0.20735,                 1.6312,                 2.2856,                 1.9553,                 1.7192,                  2.566,                 1.8702,              0.0012143,              0.0012143,              0.0012143
                      4,                 1.4981,                 1.6047,                 1.6566,                 1.7288,                 1.8922,                 1.6497,                0.39964,                0.41409,                0.33245,                0.17933,                 1.6609,                 2.6795,                 1.9691,                 1.8617,                 2.7444,                 1.9848,              0.0012087,              0.0012087,              0.0012087
                      5,                 1.4663,                 1.5486,                  1.639,                 1.7049,                 1.8545,                 1.6378,                0.41939,                 0.4155,                0.37516,                0.20727,                 1.6666,                 3.4809,                 1.9259,                 1.8181,                  3.315,                 1.8238,              0.0012087,              0.0012087,              0.0012087
                      6,                 1.4658,                 1.5036,                 1.6159,                 1.7013,                 1.8011,                 1.5996,                0.48205,                0.34205,                0.32654,                0.19568,                 1.6019,                 2.6883,                  1.864,                 1.7556,                 2.5506,                 1.7694,               0.001195,               0.001195,               0.001195
                      7,                 1.4012,                 1.4223,                 1.5561,                  1.658,                 1.6875,                 1.5345,                0.45905,                0.51141,                0.41484,                0.23266,                 1.6095,                 2.5267,                 1.9129,                 1.8186,                 2.2597,                 1.8674,              0.0011813,              0.0011813,              0.0011813
                      8,                 1.4128,                 1.4241,                 1.5661,                   1.67,                 1.6841,                 1.5611,                0.58829,                0.49193,                 0.5131,                0.31801,                 1.5158,                 1.9333,                  1.785,                 1.6702,                 2.0963,                 1.7084,              0.0011675,              0.0011675,              0.0011675
                      9,                 1.3628,                 1.3968,                 1.5411,                 1.5944,                 1.6828,                 1.5328,                0.47623,                0.52852,                0.47328,                0.26774,                 1.5974,                 2.2915,                 1.8304,                 1.7051,                 2.4502,                 1.7268,              0.0011538,              0.0011538,              0.0011538
                     10,                 1.3442,                 1.3611,                 1.5304,                 1.5722,                 1.6383,                 1.5356,                0.53446,                0.50733,                0.50942,                0.31022,                 1.5382,                 1.8402,                 1.7865,                 1.6884,                 2.0531,                 1.7266,                0.00114,                0.00114,                0.00114
